kijetesantakalu,󱦀
kokosila,󱦄
misikeke,󱦇
kepeken,󱤙
monsuta,󱥽
sitelen,󱥠
jasima,󱥿
kalama,󱤕
kipisi,󱥻
kulupu,󱤟
lanpan,󱦅
majuna,󱦢
namako,󱥸
pakala,󱥈
palisa,󱥊
pimeja,󱥏
sijelo,󱥛
sinpin,󱥟
soweli,󱥢
akesi,󱤁
alasa,󱤃
apeja,󱦡
epiku,󱦃
kiwen,󱤛
linja,󱤩
lukin,󱤮
monsi,󱤸
nanpa,󱤽
nasin,󱤿
pilin,󱥎
tenpo,󱥫
tonsi,󱥾
utala,󱥱
anpa,󱤅
ante,󱤆
awen,󱤈
esun,󱤋
insa,󱤏
jaki,󱤐
jelo,󱤒
kala,󱤔
kama,󱤖
kasi,󱤗
kili,󱤚
kule,󱤞
kute,󱤠
lape,󱤢
laso,󱤣
lawa,󱤤
leko,󱥼
lete,󱤦
lili,󱤨
lipu,󱤪
loje,󱤫
luka,󱤭
lupa,󱤯
mama,󱤱
mani,󱤲
meli,󱤳
meso,󱦂
mije,󱤵
moku,󱤶
moli,󱤷
musi,󱤻
mute,󱤼
nasa,󱤾
nena,󱥀
nimi,󱥂
noka,󱥃
olin,󱥅
open,󱥇
pake,󱦠
pali,󱥉
pana,󱥌
pini,󱥐
pipi,󱥑
poka,󱥒
poki,󱥓
pona,󱥔
powe,󱦣
sama,󱥖
seli,󱥗
selo,󱥘
seme,󱥙
sewi,󱥚
sike,󱥜
sina,󱥞
soko,󱦁
sona,󱥡
suli,󱥣
suno,󱥤
supa,󱥥
suwi,󱥦
taso,󱥨
tawa,󱥩
telo,󱥪
toki,󱥬
tomo,󱥭
unpa,󱥯
walo,󱥲
waso,󱥴
wawa,󱥵
weka,󱥶
wile,󱥷
ala,󱤂
ale,󱤄
ali,󱤄
anu,󱤇
ijo,󱤌
ike,󱤍
ilo,󱤎
jan,󱤑
ken,󱤘
kin,󱥹
kon,󱤝
len,󱤥
lon,󱤬
mun,󱤺
oko,󱥺
ona,󱥆
pan,󱥋
sin,󱥝
tan,󱥧
uta,󱥰
wan,󱥳
en,󱤊
jo,󱤓
ko,󱤜
ku,󱦈
la,󱤡
li,󱤧
ma,󱤰
mi,󱤴
mu,󱤹
ni,󱥁
pi,󱥍
pu,󱥕
tu,󱥮
a,󱤀
e,󱤉
n,󱦆
o,󱥄
[,󱦐
],󱦑
*,‍
+,󱦖
-,󱦕
(,󱦗
),󱦘
_,󱦙
{,󱦚
},󱦛
.,󱦜
:,󱦝
ss,　
zz,　
<,「
>,」
~~,︁
~,︀
 ,